review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
75074,33744,1/22/2018,1/1/2018,1092,927,4740,42,American Airlines,TRUE,Economy Class,Business,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
89615,33914,12/31/2018,12/1/2018,654,3443,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,3,3,3,1,1,3,1,FALSE,2.14,medium,36:29.0,18:17.5
139794,34079,6/30/2023,6/1/2023,2633,2857,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,Null,Null,Null,Null,4,2,3,TRUE,3,medium,36:29.0,18:17.5
121151,34881,3/29/2022,3/1/2022,3294,1092,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
76972,35218,3/17/2018,3/1/2018,4216,1507,1092,42,American Airlines,TRUE,Premium Economy,Couple Leisure,3,4,2,3,3,3,4,TRUE,3.14,medium,36:29.0,18:17.5
122776,35333,5/9/2022,5/1/2022,3656,275,4740,19,American Airlines,TRUE,Economy Class,Solo Leisure,4,4,3,4,4,4,5,TRUE,4,good,36:29.0,18:17.5
97919,35409,7/9/2019,6/1/2019,2633,678,4740,42,American Airlines,TRUE,Business Class,Couple Leisure,3,1,Null,Null,1,Null,3,FALSE,2,medium,36:29.0,18:17.5
115413,35966,8/1/2021,7/1/2021,221,2272,1092,42,American Airlines,TRUE,Economy Class,Couple Leisure,5,4,4,2,5,3,4,TRUE,3.86,medium,36:29.0,18:17.5
68270,36091,7/14/2017,6/1/2017,1092,4049,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,3,2,1,3,1,3,1,FALSE,2,medium,36:29.0,18:17.5
57237,36091,8/5/2016,8/1/2016,864,258,4740,2,American Airlines,FALSE,Economy Class,Business,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
82754,36378,7/26/2018,10/1/2017,3294,2857,4740,19,American Airlines,TRUE,Economy Class,Couple Leisure,4,5,1,Null,5,Null,3,TRUE,3.6,medium,36:29.0,18:17.5
115414,36596,8/1/2021,6/1/2021,4430,3707,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,2,2,Null,Null,1,Null,2,FALSE,1.75,bad,36:29.0,18:17.5
100391,36844,8/30/2019,8/1/2019,826,4049,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,3,2,Null,Null,2,Null,1,FALSE,2,medium,36:29.0,18:17.5
138206,37476,5/27/2023,5/1/2023,834,3173,4740,3,American Airlines,FALSE,Economy Class,Business,2,4,3,2,3,3,2,FALSE,2.71,medium,36:29.0,18:17.5
115514,37583,8/3/2021,7/1/2021,864,229,4740,42,American Airlines,TRUE,Economy Class,Business,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
123016,37876,5/16/2022,5/1/2022,4884,3047,4740,42,American Airlines,FALSE,Business Class,Business,3,3,Null,3,1,Null,1,FALSE,2.2,medium,36:29.0,18:17.5
132313,37898,12/26/2022,12/1/2022,548,3483,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,Null,Null,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
156946,48669,8/10/2025,8/1/2025,1890,3927,4740,42,American Airlines,TRUE,First Class,Couple Leisure,5,5,5,5,5,5,4,TRUE,4.86,good,36:29.0,18:17.5
156290,48721,7/1/2025,6/1/2025,864,2617,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
65975,48772,5/4/2017,5/1/2017,2621,121,1092,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
132443,48824,12/28/2022,12/1/2022,258,1092,4740,42,American Airlines,TRUE,First Class,Business,4,4,4,Null,1,Null,2,FALSE,3,medium,36:29.0,18:17.5
85263,48918,9/18/2018,8/1/2018,1092,157,4740,32,American Airlines,TRUE,Economy Class,Family Leisure,4,4,3,5,5,2,3,TRUE,3.71,medium,36:29.0,18:17.5
48211,49012,12/4/2015,12/1/2015,3971,3483,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,1,1,Null,2,Null,2,FALSE,1.4,bad,36:29.0,18:17.5
121192,49048,3/30/2022,3/1/2022,2584,2501,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,2,1,2,1,3,1,FALSE,1.57,bad,36:29.0,18:17.5
48170,49342,12/3/2015,12/1/2015,2643,2857,834,42,American Airlines,FALSE,Economy Class,Solo Leisure,3,1,2,Null,3,Null,3,FALSE,2.4,medium,36:29.0,18:17.5
95583,49454,5/17/2019,5/1/2019,3855,3294,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
112760,49806,3/18/2021,3/1/2021,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,4,3,Null,1,2,1,2,FALSE,2.17,medium,36:29.0,18:17.5
134824,49914,3/4/2023,9/1/2022,834,3104,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,Null,Null,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
44332,49967,9/11/2015,9/1/2015,1253,3104,4740,26,American Airlines,FALSE,Business Class,Couple Leisure,3,5,4,2,3,Null,4,TRUE,3.5,medium,36:29.0,18:17.5
82535,50064,7/22/2018,7/1/2018,1147,834,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
57973,50065,8/25/2016,8/1/2016,3105,890,864,42,American Airlines,FALSE,Premium Economy,Couple Leisure,1,4,Null,2,1,Null,1,FALSE,1.8,bad,36:29.0,18:17.5
143766,50164,9/24/2023,9/1/2023,163,4219,4740,4,American Airlines,FALSE,Economy Class,Solo Leisure,1,1,1,3,1,4,1,FALSE,1.71,bad,36:29.0,18:17.5
150245,50268,6/27/2024,5/1/2024,834,2633,4740,32,American Airlines,TRUE,Economy Class,Solo Leisure,3,2,Null,Null,1,Null,2,FALSE,2,medium,36:29.0,18:17.5
95534,50449,5/16/2019,5/1/2019,3971,1092,4740,4,American Airlines,FALSE,Economy Class,Business,1,3,1,3,1,1,1,FALSE,1.57,bad,36:29.0,18:17.5
114411,50458,6/30/2021,6/1/2021,3483,258,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
145816,50463,12/5/2023,12/1/2023,1092,2047,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,2,2,2,2,1,2,2,FALSE,1.86,bad,36:29.0,18:17.5
99084,50559,8/2/2019,8/1/2019,2756,4884,2857,42,American Airlines,TRUE,Economy Class,Couple Leisure,1,3,3,4,1,1,1,FALSE,2,medium,36:29.0,18:17.5
118348,50759,12/15/2021,12/1/2021,1880,3483,1150,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,4,Null,Null,1,Null,1,FALSE,1.75,bad,36:29.0,18:17.5
49137,50761,12/29/2015,12/1/2015,3972,1652,1092,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,4,1,FALSE,1.6,bad,36:29.0,18:17.5
40123,50782,6/14/2015,6/1/2015,3103,864,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
119926,50881,2/22/2022,2/1/2022,864,1438,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,1,1,Null,Null,5,Null,2,FALSE,2.25,medium,36:29.0,18:17.5
79898,50896,6/1/2018,5/1/2018,1178,1092,4941,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
145708,51146,11/30/2023,11/1/2023,2190,864,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
111757,51181,12/9/2020,12/1/2020,3971,4787,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
115011,51208,7/19/2021,7/1/2021,1147,3483,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,1,1,Null,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
103280,51220,11/4/2019,7/1/2019,3064,2857,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
41327,51296,7/11/2015,7/1/2015,3104,2633,4740,4,American Airlines,FALSE,First Class,Solo Leisure,4,4,3,4,4,Null,4,TRUE,3.83,medium,36:29.0,18:17.5
35919,51296,1/28/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Premium Economy,Null,5,5,4,4,Null,Null,5,TRUE,4.6,good,36:29.0,18:17.5
37173,51296,3/17/2015,Null,4740,4740,4740,42,American Airlines,FALSE,First Class,Null,5,5,5,4,Null,Null,5,TRUE,4.8,good,36:29.0,18:17.5
155270,51384,4/11/2025,4/1/2025,3157,567,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,1,4,1,1,1,4,1,FALSE,1.86,bad,36:29.0,18:17.5
99023,51389,8/1/2019,7/1/2019,275,3483,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
52998,51716,3/27/2016,3/1/2016,3104,1061,2857,42,American Airlines,FALSE,Economy Class,Family Leisure,1,1,1,1,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
